period_days,age_cohort,vax_dose,metric,vax_increase,novax_increase,diff,p_value,vax_before,vax_after,novax_before,novax_after,vax_vs_novax_ratio
180,between_12_and_30,2,kortikoidy,112.27726133466236,95.17871226534938,17.09854906931298,0.0,242282.25,272027.875,302084.75,287520.375,1.179646778805368
180,between_12_and_30,2,imunosupresivy,112.62626262626263,106.90376569037656,5.7224969358860704,0.6056465067135102,396.0,446.0,478.0,511.0,1.0535294233924373
180,between_12_and_30,3,predpisy,120.10771992818673,117.38800303720578,2.7197168909809477,0.7579060288413295,557.0,669.0,1317.0,1546.0,1.0231686102549928
180,between_12_and_30,3,prvopredpisy,132.5581395348837,116.94915254237289,15.608986992510822,0.3990360656366422,129.0,171.0,295.0,345.0,1.1334681496461072
180,between_12_and_30,3,kortikoidy,126.45076869138883,133.5782036618259,-7.127434970437079,9.606071754577693e-27,90559.75,114513.5,272452.875,363937.65625,0.946642230730387
180,between_12_and_30,3,imunosupresivy,106.78733031674209,104.83558994197293,1.9517403747691588,0.9108516069815761,221.0,236.0,517.0,542.0,1.0186171544973368
365,between_12_and_30,1,predpisy,126.62063674721902,121.93056731583405,4.69006943138497,0.3303262490715202,2607.0,3301.0,2362.0,2880.0,1.038465083322678
365,between_12_and_30,1,prvopredpisy,121.46171693735499,116.72727272727272,4.734444210082273,0.6039078396421483,862.0,1047.0,550.0,642.0,1.0405598803044431
365,between_12_and_30,1,kortikoidy,134.81523825323436,128.72643581982737,6.088802433406983,2.21626060687771e-68,500313.25,674498.5,505826.0,651131.78125,1.047300326421911
365,between_12_and_30,1,imunosupresivy,128.125,120.45454545454545,7.670454545454547,0.37770087403457525,704.0,902.0,880.0,1060.0,1.0636792452830188
365,between_12_and_30,2,predpisy,130.26204564666105,121.77722152690865,8.484824119752403,0.08413656935764417,2366.0,3082.0,2397.0,2919.0,1.0696749688764868
365,between_12_and_30,2,prvopredpisy,129.43661971830986,122.67657992565056,6.760039792659299,0.49047061609087245,710.0,919.0,538.0,660.0,1.0551045667947077
365,between_12_and_30,2,kortikoidy,139.6123005598211,129.1924268087991,10.41987375102201,1.1414742174629263e-182,459544.125,641580.125,505444.125,652995.53125,1.080653905251297
365,between_12_and_30,2,imunosupresivy,128.25520833333331,119.44751381215471,8.807694521178604,0.2916560535921084,768.0,985.0,905.0,1081.0,1.0737369430311439
365,between_12_and_30,3,predpisy,117.32495511669659,111.8815592203898,5.443395896306782,0.3304325894685972,1114.0,1307.0,2668.0,2985.0,1.048653200172015
365,between_12_and_30,3,prvopredpisy,129.13385826771653,113.0718954248366,16.061962842879936,0.1935805166096723,254.0,328.0,612.0,692.0,1.14205088525784
365,between_12_and_30,3,kortikoidy,118.37254293588364,114.77612062055391,3.5964223153297326,6.2108200537992356e-18,191768.5,227001.25,589932.625,677101.78125,1.0313342383057134
365,between_12_and_30,3,imunosupresivy,107.02576112412179,109.62888665997994,-2.6031255358581546,0.7786933404486258,427.0,457.0,997.0,1093.0,0.9762551129071311
30,between_30_and_50,1,predpisy,97.98464491362763,99.6124031007752,-1.6277581871475633,0.8487262647457126,1042.0,1021.0,516.0,514.0,0.983659081234083
30,between_30_and_50,1,prvopredpisy,91.26984126984127,110.86956521739131,-19.599723947550046,0.2694438535485574,252.0,230.0,92.0,102.0,0.8232181761593526
30,between_30_and_50,1,kortikoidy,113.0464491217444,122.37913051792574,-9.332681396181343,1.0912371674312055e-42,132080.0,149311.75,94127.875,115192.875,0.9237396003984982
30,between_30_and_50,1,imunosupresivy,89.60396039603961,89.36170212765957,0.24225826838004139,1.0,202.0,181.0,141.0,126.0,1.0027109853842529
30,between_30_and_50,2,predpisy,93.16888045540796,84.5303867403315,8.638493715076464,0.21633498666245649,1054.0,982.0,543.0,459.0,1.102193945256787
30,between_30_and_50,2,prvopredpisy,101.87793427230048,76.19047619047619,25.68745808182429,0.1132998961105361,213.0,217.0,105.0,80.0,1.3371478873239437
30,between_30_and_50,2,kortikoidy,106.68263784216454,70.91013866903982,35.772499173124714,0.0,154914.5,165266.875,119952.875,85058.75,1.5044765085016454
30,between_30_and_50,2,imunosupresivy,93.08943089430895,94.11764705882352,-1.0282161645145749,1.0,246.0,229.0,136.0,128.0,0.9890752032520326
30,between_30_and_50,3,predpisy,111.83745583038869,109.1451292246521,2.6923266057365964,0.7996731817277827,566.0,633.0,503.0,549.0,1.024667400413215
30,between_30_and_50,3,prvopredpisy,102.63157894736842,99.15254237288136,3.4790365744870684,0.8536263341459543,114.0,117.0,118.0,117.0,1.0350877192982457
30,between_30_and_50,3,kortikoidy,122.89666556619345,93.09945217024863,29.797213395944823,0.0,75725.0,93063.5,112717.5,104939.375,1.3200578811296912
30,between_30_and_50,3,imunosupresivy,100.0,94.70198675496688,5.298013245033118,0.7453655682769383,155.0,155.0,151.0,143.0,1.055944055944056
60,between_30_and_50,1,predpisy,93.59534206695778,90.22831050228311,3.367031564674676,0.4989998016915581,2061.0,1929.0,1095.0,988.0,1.0373167971995827
60,between_30_and_50,1,prvopredpisy,89.77505112474438,79.82832618025752,9.94672494448686,0.34511731248415906,489.0,439.0,233.0,186.0,1.1246014468852386
60,between_30_and_50,1,kortikoidy,101.54192699976718,94.61746490237401,6.9244620973931745,1.723077935853487e-68,297995.625,302590.5,213173.25,201699.125,1.0731837626862843
60,between_30_and_50,1,imunosupresivy,92.91553133514986,97.03703703703704,-4.121505701887173,0.7306396801691867,367.0,341.0,270.0,262.0,0.9575264679576513
60,between_30_and_50,2,predpisy,92.47311827956989,91.8791312559018,0.5939870236680918,0.9141801025925447,2232.0,2064.0,1059.0,973.0,1.0064648741836024
